ID,Biome,Sex,Age,Hemacias,Hemoglobina,Hematocrito,VCM-VGM,HCM-HGM,CHCM-CHGM,LeucocitosTotais,Eosinofilos,Basofilos,Linfocitos,Monocitos,Bastonetes,Segmentados,Neutrofilos,Plaquetas,TGP-ALT,TGO-AST,GamaGT,Ureia,acidourico,Creatinina,CreatininaFosfoquinaseCK-CPK,FosfataseAlcalina,Glicose,ColesterolTotal,ColesterolFracionadoHDL,ColesterolFracionadoLDL,ColesterolFracionadoVLDL,Triglicerideos,ProteinasTotais,Albumina,Globulina,RelaçaoA-G,BilirrubinaTotal,BilirrubinaDireta,BilirrubinaIndireta,Magnesio,Sodio,Potassio,Calcio,Fosforo,Cloro,Ferro,Colinesterase,LinfocitosReativos,LactatoDesidrogenase
LeslieLela,Pantanal,Female,Adult,5.48,11.4,0.334,60.9,20.8,34.1,6,0.48,0,1.68,0.24,0,3.6,3.6,354,15,49,,6.426,17.844,123.76,72,10,,4.7397,3.2634,1.1396,0.3367,0.7345,60,,50,0.2,7.011,0.513,6.498,,128,4.5,2.6,1.4535,98,14.32,286,,
Helena,Pantanal,Female,Adult,6.61,,0.38,57.5,,,13.35,0.668,,4.406,0,0,8.277,8.277,,16,72,13,3.213,29.74,106.08,155,9,6.9375,4.144,2.4346,1.1655,0.5439,1.1978,,13,,,,0.171,1.539,0.9864,140,4.7,,0.8721,109,,216,,
Madalena,Pantanal,Female,Adult,5.73,,0.27,47.1,,,10,1.4,,4.8,0.2,0,3.6,3.6,,20,67,16,5.712,,141.44,101,14,3.663,3.0303,1.4245,1.3986,0.2072,0.4294,57,13,44,0.2,3.591,0.342,3.249,0.822,139,4.3,2.725,1.292,104,11.635,196,,
Duda,Pantanal,Female,Adult,6.39,10.9,0.32,50,17,34,9.7,0,0,2.328,0.485,0.194,6.693,6.887,278,18,63,13,3.57,17.844,106.08,120,16,,3.5742,1.8907,1.0101,,,,14,,0.2,3.591,0.171,3.42,0.7809,,3.3,,,,17.542,187,,
KarinSchwartz,Pantanal,Female,Adult,5.53,,0.36,,,,,,,,,,,,,22,82,23,12.495,5.948,114.92,130,17,4.995,4.7138,2.7454,1.7871,0.1813,0.3955,69,,46,0.5,,,6.669,0.822,134,2.9,2.5,1.1628,92,10.382,251,,
Morena,Pantanal,Female,Sub-adult,5.54,10.6,0.309,55.7,19.1,34.3,13.2,0,0,1.452,0.264,1.056,10.428,11.484,166,,,20,6.069,17.844,88.4,,,8.3805,2.9267,2.4605,0.3885,0.0777,0.1695,63,18,45,0.4,8.55,1.71,,0.5754,139,2.7,2.25,1.2597,102,,208,,
Morena,Pantanal,Female,Sub-adult,4.66,9.6,0.291,62.4,20.6,32.9,,0,0,0.32,0,0,11.84,15.68,162,25,,19,3.927,5.948,106.08,,21,5.772,3.5742,2.5382,0.9065,0.1295,0.1808,67,18,49,0.3,7.524,1.881,5.643,0.6576,131,3.2,2.55,,,20.943,312,,
Morena,Pantanal,Female,Sub-adult,5.31,,0.31,,,,9.65,,,,,,,,,17,68,22,6.069,5.948,141.44,429,20,5.2725,3.7296,2.6677,0.9065,0.1554,0.3503,61,18,43,0.4,4.788,1.539,3.249,0.5343,130,2.7,2.35,1.0982,93,11.814,191,,
KarinSchwartz,Pantanal,Female,Sub-adult,6.44,,0.38,59,,,14.85,,,,,,,,,25,76,20,3.213,11.896,106.08,145,14,5.55,4.1958,2.6418,1.4245,0.1295,0.2825,65,,42,0.5,6.84,1.71,5.13,0.7398,132,2.7,2.4,1.3889,90,9.666,279,,
KarinSchwartz,Pantanal,Female,Sub-adult,6.69,,0.42,,,,11.8,,,,,,,,,20,56,18,3.57,11.896,132.6,137,28,5.8275,,2.5641,,0.259,0.5537,60,21,,0.5,4.788,1.368,3.42,0.7809,128,3.6,2.425,1.1951,92,11.456,251,,
TeoBandAid,Pantanal,Male,Adult,6.78,11.2,0.349,51.5,16.5,32.1,8.6,0.344,0,3.698,0.344,0.688,3.526,4.214,352,,,,2.856,,106.08,106,13,4.884,3.5742,2.4346,0.777,0.3885,0.8136,,17,,,2.565,0.342,2.223,0.8631,131,,2.05,0.969,91,14.499,198,,
TeoBandAid,Pantanal,Male,Adult,3.15,,0.37,,,,5.95,0,0.051,1.535,0.051,0.051,4.263,4.314,,17,60,,6.783,17.844,88.4,67,2,4.218,2.7713,1.4763,1.0619,0.2331,0.4859,70,19,51,0.4,8.379,0.855,,0.5754,148,4,2.425,0.7429,114,15.752,350,,
